epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,94.048,0.32157,0.36905,0.83033,0.99663,1,0.995,0.96647,0.24695,0.26106,0.71978,0.0011486,0.0011486,0.0011486
45,96.2794,0.32963,0.35443,0.82622,0.99598,1,0.995,0.96647,0.27269,0.2861,0.7251,0.0011288,0.0011288,0.0011288
46,99.077,0.31762,0.33731,0.82809,0.99665,1,0.995,0.96686,0.26601,0.2832,0.72994,0.001109,0.001109,0.001109
47,100.972,0.33137,0.34821,0.8326,0.99685,1,0.995,0.96553,0.28121,0.28604,0.73293,0.0010892,0.0010892,0.0010892
48,102.787,0.33666,0.3485,0.84183,0.99671,1,0.995,0.98299,0.26524,0.26256,0.72827,0.0010694,0.0010694,0.0010694
49,104.669,0.34789,0.35981,0.83617,0.9952,1,0.995,0.98505,0.26138,0.26914,0.72377,0.0010496,0.0010496,0.0010496
50,106.595,0.35027,0.35338,0.84403,0.99364,1,0.995,0.97143,0.25596,0.25401,0.72199,0.0010298,0.0010298,0.0010298
51,108.576,0.31612,0.32735,0.84152,0.99478,1,0.995,0.98388,0.25613,0.25255,0.72396,0.00101,0.00101,0.00101
52,111.433,0.30841,0.31658,0.82663,0.99681,1,0.995,0.97587,0.27637,0.28637,0.72605,0.0009902,0.0009902,0.0009902
53,113.423,0.32024,0.32045,0.82683,0.9965,1,0.995,0.9839,0.24894,0.26041,0.72886,0.0009704,0.0009704,0.0009704
54,115.293,0.28671,0.30792,0.82341,0.99658,1,0.995,0.97803,0.25818,0.24322,0.72837,0.0009506,0.0009506,0.0009506
55,117.198,0.29744,0.31546,0.81916,0.9966,1,0.995,0.97419,0.25143,0.2465,0.72851,0.0009308,0.0009308,0.0009308
56,119.156,0.28987,0.29965,0.82821,0.99664,1,0.995,0.95282,0.25649,0.2464,0.72608,0.000911,0.000911,0.000911
57,121.107,0.29542,0.30375,0.83222,0.99691,1,0.995,0.98298,0.25472,0.23853,0.72751,0.0008912,0.0008912,0.0008912
58,123.671,0.28981,0.30867,0.82687,0.99673,1,0.995,0.98173,0.2636,0.2455,0.72829,0.0008714,0.0008714,0.0008714
59,126.065,0.29034,0.29211,0.8357,0.99606,1,0.995,0.98168,0.22863,0.2431,0.72557,0.0008516,0.0008516,0.0008516
60,127.944,0.26694,0.29877,0.82808,0.99627,1,0.995,0.96642,0.26185,0.23949,0.73237,0.0008318,0.0008318,0.0008318
61,129.822,0.27704,0.283,0.82978,0.99647,1,0.995,0.98451,0.2328,0.22703,0.72395,0.000812,0.000812,0.000812
62,131.702,0.29056,0.28652,0.83536,0.99652,1,0.995,0.98923,0.24595,0.24527,0.72307,0.0007922,0.0007922,0.0007922
63,133.582,0.2714,0.28485,0.81584,0.99687,1,0.995,0.98398,0.23715,0.23402,0.72117,0.0007724,0.0007724,0.0007724
64,136.127,0.30324,0.28549,0.8315,0.99704,1,0.995,0.97375,0.25771,0.21828,0.72268,0.0007526,0.0007526,0.0007526
65,138.522,0.27211,0.29378,0.8361,0.99709,1,0.995,0.97562,0.24411,0.23438,0.71908,0.0007328,0.0007328,0.0007328
66,140.371,0.28978,0.29592,0.82411,0.99721,1,0.995,0.98983,0.21592,0.21571,0.71594,0.000713,0.000713,0.000713
67,142.335,0.26744,0.28308,0.82138,0.99721,1,0.995,0.984,0.22654,0.21151,0.71609,0.0006932,0.0006932,0.0006932
68,144.208,0.29091,0.28325,0.83114,0.99722,1,0.995,0.995,0.21032,0.21255,0.71495,0.0006734,0.0006734,0.0006734
69,146.063,0.25859,0.27369,0.81551,0.99721,1,0.995,0.98737,0.20372,0.22323,0.71534,0.0006536,0.0006536,0.0006536
70,147.952,0.26072,0.27648,0.82563,0.99726,1,0.995,0.97193,0.22533,0.20934,0.71888,0.0006338,0.0006338,0.0006338
71,150.971,0.26043,0.27274,0.8133,0.99724,1,0.995,0.97011,0.21685,0.19854,0.71357,0.000614,0.000614,0.000614
72,152.887,0.27192,0.28588,0.83054,0.99707,1,0.995,0.97493,0.23749,0.22007,0.7149,0.0005942,0.0005942,0.0005942
73,154.77,0.2507,0.26889,0.81286,0.9969,1,0.995,0.98989,0.21317,0.20278,0.71346,0.0005744,0.0005744,0.0005744
74,156.599,0.25458,0.25349,0.80847,0.99702,1,0.995,0.98323,0.21474,0.20369,0.71685,0.0005546,0.0005546,0.0005546
75,158.351,0.25997,0.27281,0.82403,0.99714,1,0.995,0.97388,0.2213,0.20581,0.7168,0.0005348,0.0005348,0.0005348
76,160.293,0.24547,0.25002,0.80492,0.99725,1,0.995,0.99015,0.23917,0.22901,0.71865,0.000515,0.000515,0.000515
77,162.983,0.26154,0.26142,0.81677,0.99733,1,0.995,0.98963,0.22715,0.21647,0.71689,0.0004952,0.0004952,0.0004952
78,165.179,0.23634,0.24727,0.80424,0.99727,1,0.995,0.98419,0.21947,0.2205,0.71428,0.0004754,0.0004754,0.0004754
79,166.995,0.23261,0.25123,0.81014,0.99731,1,0.995,0.98971,0.2051,0.207,0.71419,0.0004556,0.0004556,0.0004556
80,168.955,0.24711,0.25022,0.81913,0.99731,1,0.995,0.98983,0.1988,0.19928,0.71556,0.0004358,0.0004358,0.0004358
81,170.847,0.255,0.25814,0.81967,0.99729,1,0.995,0.97964,0.22715,0.19657,0.72025,0.000416,0.000416,0.000416
82,172.745,0.25014,0.25778,0.81383,0.99728,1,0.995,0.97409,0.2271,0.19321,0.71953,0.0003962,0.0003962,0.0003962
83,175.08,0.24134,0.25466,0.82057,0.99727,1,0.995,0.97354,0.21044,0.17955,0.7183,0.0003764,0.0003764,0.0003764
84,177.604,0.24334,0.24497,0.81889,0.99729,1,0.995,0.98462,0.2207,0.17987,0.71826,0.0003566,0.0003566,0.0003566
85,179.433,0.23886,0.23969,0.81234,0.99736,1,0.995,0.9803,0.22091,0.18778,0.71786,0.0003368,0.0003368,0.0003368
86,181.215,0.23084,0.23781,0.81699,0.9974,1,0.995,0.97991,0.20565,0.18606,0.71528,0.000317,0.000317,0.000317
87,183.03,0.24124,0.24084,0.82441,0.99734,1,0.995,0.9856,0.20505,0.18951,0.71573,0.0002972,0.0002972,0.0002972
88,184.841,0.22398,0.24297,0.80011,0.99732,1,0.995,0.99036,0.20591,0.18576,0.71456,0.0002774,0.0002774,0.0002774
89,186.709,0.2242,0.24062,0.83794,0.99732,1,0.995,0.98574,0.20799,0.1829,0.71544,0.0002576,0.0002576,0.0002576
90,189.56,0.23663,0.2428,0.81754,0.99726,1,0.995,0.98021,0.20819,0.18327,0.71469,0.0002378,0.0002378,0.0002378
91,193.742,0.18572,0.23153,0.76196,0.9972,1,0.995,0.98589,0.21488,0.18332,0.71812,0.000218,0.000218,0.000218
92,196.32,0.19661,0.22563,0.77276,0.99719,1,0.995,0.98428,0.21393,0.18766,0.7174,0.0001982,0.0001982,0.0001982
93,198.095,0.18343,0.22141,0.75833,0.99719,1,0.995,0.98478,0.20694,0.18141,0.71718,0.0001784,0.0001784,0.0001784
94,199.84,0.19136,0.22762,0.79365,0.99723,1,0.995,0.99034,0.20121,0.17892,0.71607,0.0001586,0.0001586,0.0001586
95,202.409,0.1797,0.20637,0.78079,0.99726,1,0.995,0.995,0.20353,0.18153,0.71596,0.0001388,0.0001388,0.0001388
96,204.85,0.17607,0.20365,0.77821,0.9973,1,0.995,0.989,0.21257,0.17985,0.71606,0.000119,0.000119,0.000119
97,206.722,0.17001,0.19918,0.78341,0.99733,1,0.995,0.98875,0.21013,0.18424,0.71596,9.92e-05,9.92e-05,9.92e-05
98,208.475,0.17987,0.20092,0.77076,0.99732,1,0.995,0.98883,0.20898,0.17763,0.71569,7.94e-05,7.94e-05,7.94e-05
99,210.303,0.17815,0.21013,0.78229,0.99733,1,0.995,0.98831,0.20441,0.1708,0.7156,5.96e-05,5.96e-05,5.96e-05
100,212.132,0.17785,0.20227,0.75289,0.99731,1,0.995,0.9881,0.19484,0.17126,0.71585,3.98e-05,3.98e-05,3.98e-05
